YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,1,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.21,8.03,9.62,6.84,81.06,0.03,99.11,2.14,325.09
2014,1,1,6,9.02,6.55,0.35,0.09,88.96,2.55,2.55,0.33,0.0,0.0,11.28,7.72,9.5,6.65,79.06,0.03,99.16,2.08,319.12
2014,1,1,7,115.5,120.42,0.45,0.12,79.54,47.38,49.38,5.44,0.02,0.1,13.08,9.4,11.24,7.45,78.69,0.01,99.23,1.89,309.96
2014,1,1,8,283.89,297.8,0.57,0.06,69.22,120.55,127.58,13.72,0.14,0.67,15.01,10.0,12.5,7.75,72.06,0.0,99.32,2.6,297.18
2014,1,1,9,456.27,455.58,0.66,0.09,60.59,195.02,198.12,22.71,0.34,1.67,17.35,10.48,13.92,8.0,64.0,0.0,99.38,3.02,283.17
2014,1,1,10,539.46,564.83,0.66,0.09,54.46,235.1,246.73,28.59,0.54,2.67,19.39,10.61,15.0,8.06,56.75,0.0,99.35,3.38,277.03
2014,1,1,11,559.94,584.65,0.64,0.08,51.74,240.17,251.7,28.63,0.57,2.85,20.73,10.87,15.8,8.18,53.12,0.0,99.27,3.82,273.63
2014,1,1,12,569.17,565.52,0.67,0.09,52.97,241.23,242.1,28.42,0.54,2.65,21.46,11.11,16.28,8.36,51.62,0.0,99.17,4.26,272.0
2014,1,1,13,452.48,484.58,0.6,0.07,57.89,191.83,206.33,22.4,0.38,1.85,21.69,11.27,16.48,8.42,51.5,0.0,99.09,4.47,273.71
2014,1,1,14,328.7,350.38,0.57,0.12,65.67,136.88,146.85,15.59,0.19,0.92,21.52,11.2,16.37,8.42,51.81,0.0,99.03,4.55,277.1
2014,1,1,15,175.94,180.9,0.5,0.12,75.43,70.02,73.17,7.82,0.05,0.23,20.42,11.3,15.86,8.48,55.75,0.0,99.0,4.09,277.03
2014,1,1,16,33.52,29.6,0.37,0.1,86.25,11.48,11.48,1.38,0.0,0.02,16.8,11.12,13.96,8.36,69.12,0.0,98.99,3.01,273.57
