YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,1,6,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-15.95,-15.14,-15.55,1.89,100.0,0.0,55.21,2.16,252.74
2014,1,1,7,23.08,25.85,0.41,0.19,87.75,6.88,8.8,0.88,0.0,0.02,-16.6,-17.45,-17.02,1.53,95.88,0.0,55.24,2.34,252.9
2014,1,1,8,205.63,219.15,0.67,0.23,77.37,82.58,89.98,9.25,0.05,0.23,-13.99,-17.66,-15.82,1.53,73.88,0.0,55.26,2.49,245.69
2014,1,1,9,386.94,424.8,0.71,0.13,67.34,159.23,177.88,20.11,0.24,1.2,-10.85,-20.3,-15.57,1.16,42.81,0.0,55.29,4.26,237.36
2014,1,1,10,530.83,589.75,0.73,0.13,59.13,220.27,247.15,29.64,0.53,2.62,-8.95,-20.92,-14.94,1.1,33.69,0.0,55.3,5.89,234.18
2014,1,1,11,632.02,695.4,0.76,0.12,53.62,263.3,290.8,36.25,0.77,3.83,-7.67,-20.08,-13.87,1.16,32.94,0.0,55.26,6.94,234.16
2014,1,1,12,647.38,715.27,0.74,0.12,51.67,270.25,299.35,37.14,0.84,4.12,-6.92,-19.37,-13.14,1.28,33.19,0.0,55.2,7.54,234.07
2014,1,1,13,613.31,684.27,0.73,0.12,53.68,254.23,284.02,34.8,0.74,3.67,-6.6,-18.77,-12.68,1.34,34.31,0.0,55.14,7.78,234.19
2014,1,1,14,508.77,578.2,0.7,0.12,59.25,209.65,239.6,27.95,0.5,2.45,-6.81,-18.32,-12.56,1.4,36.62,0.0,55.11,7.64,235.58
2014,1,1,15,365.02,413.55,0.68,0.11,67.49,148.17,169.92,18.62,0.23,1.12,-7.54,-18.09,-12.81,1.46,39.94,0.01,55.11,7.02,238.66
2014,1,1,16,181.0,209.1,0.59,0.23,77.55,71.35,83.12,8.26,0.04,0.2,-8.94,-18.06,-13.5,1.46,45.12,0.01,55.12,5.84,242.17
2014,1,1,17,19.65,22.77,0.38,0.18,87.87,5.65,7.52,0.75,0.0,0.02,-12.06,-17.0,-14.53,1.59,65.88,0.0,55.14,3.54,246.04
2014,1,1,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-13.9,-17.52,-15.71,1.53,73.56,0.0,55.18,2.93,254.7
2014,1,1,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-14.65,-18.83,-16.74,1.34,68.69,0.0,55.22,2.5,265.52
2014,1,1,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-15.39,-20.3,-17.85,1.16,63.31,0.0,55.26,2.47,270.91
2014,1,1,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-15.9,-22.24,-19.06,0.92,55.06,0.0,55.27,2.68,268.33
2014,1,1,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-16.31,-24.25,-20.27,0.79,46.94,0.0,55.28,2.81,265.38
2014,1,1,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-16.64,-25.75,-21.2,0.67,41.62,0.0,55.27,2.84,265.42
2014,1,2,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-16.89,-26.63,-21.76,0.61,38.88,0.0,55.25,2.89,266.9
2014,1,2,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-17.06,-27.37,-22.22,0.55,36.62,0.01,55.24,2.95,268.64
2014,1,2,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-17.29,-28.02,-22.66,0.55,35.0,0.01,55.22,3.03,269.85
2014,1,2,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-17.57,-28.33,-22.95,0.49,34.81,0.01,55.2,3.07,273.65
