YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,1,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.15,-1.43,1.87,4.27,63.12,0.0,81.3,1.64,10.72
2014,1,1,7,44.96,0.5,41.88,0.15,86.32,15.83,16.12,1.64,0.01,0.02,5.37,-0.67,2.35,4.52,66.06,0.0,81.33,1.75,26.79
2014,1,1,8,236.47,0.66,236.75,0.14,75.36,100.92,103.02,10.47,0.06,0.33,7.24,2.41,4.83,5.86,74.62,0.0,81.37,1.53,32.88
2014,1,1,9,430.34,0.73,429.05,0.15,65.39,186.65,189.02,21.84,0.28,1.4,10.51,2.51,6.51,5.74,59.0,0.0,81.43,0.3,293.2
2014,1,1,10,583.97,0.77,578.35,0.14,57.36,254.17,255.05,31.69,0.57,2.83,11.97,3.64,7.8,6.29,58.31,0.0,81.46,2.21,239.0
2014,1,1,11,671.9,0.78,668.38,0.12,52.17,293.73,294.8,37.68,0.8,3.95,12.74,4.01,8.37,6.53,57.56,0.0,81.42,2.91,235.93
2014,1,1,12,680.69,0.77,685.05,0.13,50.72,297.52,301.48,38.27,0.84,4.17,13.17,4.2,8.69,6.65,57.0,0.0,81.34,3.01,236.64
2014,1,1,13,639.76,0.76,642.48,0.13,53.3,278.17,282.05,35.34,0.73,3.58,13.22,4.2,8.71,6.65,56.88,0.0,81.26,3.14,236.27
2014,1,1,14,532.14,0.74,542.15,0.13,59.39,228.02,235.2,28.44,0.48,2.4,12.83,4.11,8.48,6.59,57.94,0.0,81.22,3.15,237.26
2014,1,1,15,373.84,0.71,384.15,0.13,68.06,156.73,163.6,18.41,0.21,1.05,12.07,4.12,8.1,6.59,60.94,0.0,81.2,2.84,241.18
2014,1,1,16,180.07,0.64,184.33,0.15,78.44,71.58,74.85,7.59,0.03,0.17,10.62,5.08,7.85,7.14,72.19,0.0,81.19,1.95,240.77
2014,1,1,17,17.14,0.45,15.02,0.14,88.47,4.85,4.98,0.6,0.0,0.0,7.92,4.58,6.26,6.84,83.0,0.0,81.18,1.07,250.37
2014,1,1,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.87,4.15,5.51,6.59,86.0,0.0,81.22,0.86,322.4
2014,1,1,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.19,3.65,4.92,6.35,87.38,0.0,81.26,1.36,355.4
2014,1,1,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.82,2.8,4.31,5.98,84.69,0.0,81.29,1.64,9.6
2014,1,1,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.76,1.76,3.76,5.62,79.25,0.0,81.29,1.65,21.7
2014,1,1,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.74,0.73,3.23,5.19,73.88,0.0,81.29,1.56,25.8
2014,1,1,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.62,-0.13,2.74,4.88,70.12,0.0,81.27,1.54,26.18
2014,1,2,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.46,-0.84,2.31,4.64,67.31,0.0,81.24,1.54,25.91
2014,1,2,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.37,-1.5,1.94,4.46,64.5,0.0,81.22,1.55,26.31
2014,1,2,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.3,-2.15,1.58,4.21,61.81,0.0,81.19,1.56,24.63
2014,1,2,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.14,-2.77,1.19,4.03,59.94,0.0,81.16,1.6,24.19
2014,1,2,4,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.01,-3.48,0.76,3.85,57.69,0.0,81.13,1.63,26.81
2014,1,2,5,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.86,-4.14,0.36,3.72,55.88,0.0,81.14,1.62,28.92
2014,1,2,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.81,-4.85,-0.02,3.54,53.94,0.0,81.16,1.6,27.07
2014,1,2,7,46.23,0.52,44.38,0.15,86.36,15.4,16.12,1.61,0.01,0.02,5.33,-4.97,0.19,3.6,52.25,0.0,81.21,1.61,23.2
2014,1,2,8,231.64,0.65,247.73,0.14,75.39,94.98,103.25,10.05,0.07,0.33,8.08,-0.34,3.87,5.0,60.44,0.0,81.27,1.26,17.65
2014,1,2,9,410.24,0.7,445.38,0.1,65.41,172.25,189.35,20.48,0.28,1.4,11.3,-0.53,5.38,5.0,48.94,0.0,81.35,0.76,301.57
2014,1,2,10,556.13,0.73,598.42,0.1,57.34,235.0,255.52,29.67,0.57,2.8,13.15,0.37,6.76,5.31,45.94,0.0,81.38,2.37,242.25
2014,1,2,11,613.5,0.71,690.38,0.1,52.12,261.75,295.58,33.91,0.76,3.75,13.97,1.3,7.64,5.55,45.56,0.0,81.33,3.34,234.82
2014,1,2,12,581.16,0.65,704.58,0.1,50.62,247.35,301.2,31.97,0.74,3.7,14.32,1.95,8.13,5.74,45.94,0.0,81.24,3.62,229.2
2014,1,2,13,570.74,0.68,658.88,0.1,53.18,243.1,281.83,31.54,0.69,3.42,14.21,2.36,8.28,5.86,47.06,0.0,81.17,3.61,226.67
2014,1,2,14,470.93,0.66,547.17,0.09,59.27,199.88,233.88,25.14,0.45,2.25,13.71,2.56,8.13,5.92,48.88,0.0,81.13,3.33,227.18
2014,1,2,15,325.19,0.62,380.33,0.09,67.92,136.6,161.45,16.2,0.2,1.0,12.75,2.7,7.73,5.92,52.31,0.0,81.11,2.91,231.22
2014,1,2,16,161.3,0.56,177.83,0.14,78.3,64.9,73.1,7.0,0.03,0.17,10.87,3.87,7.37,6.41,64.19,0.0,81.1,1.93,232.06
2014,1,2,17,16.41,0.41,14.1,0.13,88.4,4.88,5.05,0.6,0.0,0.0,7.7,3.27,5.49,6.16,75.81,0.0,81.11,0.92,256.32
2014,1,2,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.78,2.15,4.47,5.62,74.31,0.0,81.16,0.82,339.83
2014,1,2,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.55,1.47,4.01,5.43,72.44,0.0,81.21,1.07,359.58
2014,1,2,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.4,0.77,3.58,5.19,70.44,0.0,81.24,1.13,3.16
2014,1,2,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.19,0.02,3.11,5.0,68.62,0.0,81.24,1.25,359.28
2014,1,2,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.04,-0.77,2.63,4.76,66.38,0.0,81.23,1.35,357.34
2014,1,2,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.83,-1.58,2.12,4.58,64.19,0.0,81.19,1.42,0.0
2014,1,3,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.74,-2.52,1.61,4.27,60.94,0.0,81.14,1.49,3.31
2014,1,3,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.61,-3.55,1.03,4.03,57.5,0.0,81.12,1.58,3.96
2014,1,3,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.34,-4.56,0.39,3.72,54.5,0.0,81.1,1.68,5.34
