YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,1,6,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.5,-16.49,-10.49,1.59,40.62,0.0,67.37,0.77,291.91
2014,1,1,7,64.88,67.73,0.53,0.23,84.99,23.77,25.62,2.61,0.01,0.02,-3.85,-15.27,-9.56,1.77,42.88,0.0,67.42,0.7,276.41
2014,1,1,8,273.03,282.45,0.7,0.2,73.95,112.73,118.25,12.91,0.09,0.48,-1.42,-10.24,-5.83,2.87,56.69,0.0,67.48,0.73,246.16
2014,1,1,9,462.61,477.3,0.76,0.12,64.2,193.08,202.38,24.45,0.36,1.77,1.66,-11.06,-4.7,2.56,39.94,0.0,67.52,2.27,226.81
2014,1,1,10,595.83,624.7,0.77,0.12,56.48,251.17,265.55,33.64,0.67,3.3,3.23,-10.45,-3.62,2.62,37.06,0.0,67.51,3.58,223.23
2014,1,1,11,680.83,712.2,0.78,0.15,51.75,287.48,302.75,39.45,0.91,4.5,4.1,-8.97,-2.43,2.99,39.19,0.0,67.45,4.45,222.51
2014,1,1,12,661.87,714.6,0.74,0.16,50.83,278.25,301.77,37.92,0.89,4.45,4.36,-7.56,-1.6,3.3,42.69,0.0,67.38,4.93,222.62
2014,1,1,13,571.77,659.33,0.69,0.13,53.93,238.85,276.58,32.47,0.7,3.5,4.09,-6.45,-1.18,3.6,47.12,0.0,67.31,5.1,224.32
2014,1,1,14,462.15,532.7,0.66,0.11,60.42,192.33,221.98,25.18,0.45,2.2,3.34,-5.68,-1.17,3.78,52.56,0.0,67.27,4.99,227.54
2014,1,1,15,291.21,345.65,0.59,0.05,69.36,118.35,140.5,14.72,0.16,0.83,2.12,-5.07,-1.48,3.97,60.19,0.0,67.25,4.51,230.77
2014,1,1,16,116.19,137.45,0.47,0.14,79.91,44.92,52.5,5.49,0.02,0.1,0.14,-4.02,-1.95,4.39,76.69,0.0,67.25,3.19,233.35
2014,1,1,17,7.81,6.23,0.38,0.16,89.16,1.98,2.23,0.29,0.0,0.0,-2.35,-4.59,-3.46,4.15,89.06,0.0,67.25,1.9,246.28
2014,1,1,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.34,-5.11,-4.22,3.97,92.88,0.0,67.28,1.42,275.37
2014,1,1,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.28,-5.84,-5.06,3.78,95.62,0.0,67.3,1.47,295.2
2014,1,1,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.49,-6.88,-5.68,3.54,90.44,0.0,67.31,1.52,301.32
2014,1,1,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.28,-8.24,-6.26,3.17,80.81,0.0,67.31,1.47,296.43
2014,1,1,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.1,-9.78,-6.94,2.87,71.5,0.0,67.31,1.49,284.55
2014,1,1,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.03,-10.99,-7.51,2.62,65.5,0.0,67.29,1.58,275.09
2014,1,2,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.13,-11.72,-7.93,2.5,62.81,0.0,67.27,1.62,273.59
2014,1,2,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.25,-12.33,-8.29,2.44,60.88,0.0,67.26,1.59,276.5
2014,1,2,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.31,-13.03,-8.67,2.32,58.56,0.0,67.24,1.57,279.18
2014,1,2,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.29,-13.86,-9.08,2.2,55.69,0.0,67.2,1.45,283.44
2014,1,2,4,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.28,-14.72,-9.5,2.08,52.88,0.0,67.18,1.32,288.65
2014,1,2,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.32,-15.56,-9.94,2.01,50.5,0.0,67.19,1.23,296.4
2014,1,2,6,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.38,-16.41,-10.39,1.89,48.31,0.0,67.22,1.2,305.75
2014,1,2,7,63.47,67.15,0.52,0.2,85.04,21.98,24.0,2.52,0.01,0.05,-3.58,-15.85,-9.71,2.01,48.31,0.0,67.26,1.18,310.97
2014,1,2,8,270.1,285.1,0.7,0.11,73.98,107.45,114.67,12.41,0.1,0.5,-0.74,-10.22,-5.48,3.11,58.75,0.0,67.31,0.97,300.49
2014,1,2,9,472.98,485.77,0.77,0.11,64.2,191.6,199.73,24.3,0.38,1.85,2.76,-12.06,-4.65,2.56,37.38,0.0,67.38,1.54,251.11
2014,1,2,10,625.29,636.67,0.8,0.12,56.46,256.65,263.8,34.27,0.71,3.52,4.54,-12.08,-3.77,2.62,33.31,0.0,67.39,3.1,236.11
2014,1,2,11,710.73,723.17,0.81,0.12,51.69,293.55,300.73,40.0,0.95,4.75,5.44,-10.38,-2.47,2.93,35.0,0.0,67.35,3.86,231.58
2014,1,2,12,663.05,704.17,0.74,0.11,50.73,275.2,292.85,36.84,0.88,4.42,5.76,-8.77,-1.51,3.3,38.44,0.0,67.28,4.3,229.27
2014,1,2,13,621.35,647.25,0.75,0.11,53.81,256.23,267.77,33.64,0.75,3.75,5.55,-7.24,-0.85,3.66,43.44,0.0,67.23,4.45,228.06
2014,1,2,14,495.19,519.02,0.71,0.1,60.29,201.92,213.15,25.65,0.46,2.27,4.87,-5.92,-0.52,4.03,49.88,0.0,67.21,4.27,228.64
2014,1,2,15,314.73,335.02,0.63,0.05,69.23,124.7,134.0,14.99,0.18,0.88,3.66,-4.95,-0.64,4.27,57.56,0.0,67.19,3.61,230.35
2014,1,2,16,118.26,125.3,0.48,0.12,79.78,43.83,46.48,5.36,0.02,0.12,1.58,-3.73,-1.07,4.64,73.25,0.0,67.19,2.28,230.97
2014,1,2,17,7.79,5.98,0.36,0.16,89.11,2.02,2.15,0.29,0.0,0.0,-1.31,-4.08,-2.7,4.46,87.56,0.0,67.2,1.13,243.79
2014,1,2,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.24,-4.77,-3.51,4.27,90.38,0.0,67.23,0.8,307.09
2014,1,2,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.85,-6.02,-4.43,3.97,88.31,0.0,67.27,1.11,337.75
2014,1,2,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.12,-7.27,-5.2,3.66,84.25,0.0,67.29,1.16,339.49
2014,1,2,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.25,-8.28,-5.77,3.48,80.19,0.0,67.31,1.26,332.64
2014,1,2,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.16,-9.18,-6.17,3.23,74.81,0.0,67.29,1.44,327.86
2014,1,2,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.17,-10.11,-6.64,3.05,69.75,0.0,67.26,1.6,326.78
2014,1,3,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.2,-11.02,-7.11,2.81,64.69,0.0,67.24,1.65,324.65
2014,1,3,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.47,-11.79,-7.63,2.62,61.75,0.0,67.23,1.7,327.19
2014,1,3,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-3.98,-12.54,-8.26,2.44,60.31,0.0,67.22,1.83,331.35
2014,1,3,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-4.52,-13.38,-8.95,2.32,59.06,0.0,67.21,1.95,335.18
