Region,Model,Dataset,MAE,RMSE,MBE,R2
Dhangadhi,ANN-MLP,Dataset1,33.078902005888764,64.18731775812539,-1.153997625585608,0.9423669335295652
Dhangadhi,KNN,Dataset1,61.30927704886861,104.73188495551533,-4.943727451353236,0.8465626420154004
Dhangadhi,LSTM,Dataset1,29.77801145285627,58.89231351157139,3.099653596158731,0.9514833838798405
Dhangadhi,Random Forest,Dataset1,25.5150140267478,55.277872326112664,0.5584671927489386,0.9572559264196709
Dhangadhi,XGBoost,Dataset1,29.065548366498987,55.342116560798196,0.04031110194710356,0.9571565139089586
Mustang,ANN-MLP,Dataset1,33.20156631257202,60.238198940228926,4.29380769269317,0.944610993515036
Mustang,KNN,Dataset1,54.09024618114977,95.77481689678055,-2.452997528047157,0.8599825128852273
Mustang,LSTM,Dataset1,28.26248052942471,54.428528197155835,3.0674625671095,0.954779766576009
Mustang,Random Forest,Dataset1,26.761617988210688,53.76897958025873,0.12532399061925398,0.955869057009867
Mustang,XGBoost,Dataset1,28.651902712266963,52.432338273666076,0.14837401044615872,0.9580358848277711
Nuwakot,ANN-MLP,Dataset1,32.567875215010986,63.12330633887454,-0.7774568372397034,0.9427720514200966
Nuwakot,KNN,Dataset1,48.35227964758826,85.42669950946429,-3.542189769918236,0.8951868059079414
Nuwakot,LSTM,Dataset1,29.623899356691737,58.79772979165509,3.2810165945285403,0.9503465056825022
Nuwakot,Random Forest,Dataset1,26.988391392533433,56.05647705254538,0.25239390251631744,0.9548684445467337
Nuwakot,XGBoost,Dataset1,29.052708164517338,55.2682761747348,-0.32056218282010696,0.9561286964329206
Taplejung,ANN-MLP,Dataset1,28.29373881897591,53.73650805260757,0.23541485553656086,0.948024611219039
Taplejung,KNN,Dataset1,41.832692146795964,74.15916845247304,-0.9219233060784684,0.9010106285340505
Taplejung,LSTM,Dataset1,27.843533580825003,53.273290220242984,3.4431680592083995,0.9489168224365208
Taplejung,Random Forest,Dataset1,25.21274967357546,50.51185495832862,-0.49710373328262925,0.9540753876750255
Taplejung,XGBoost,Dataset1,26.706040748254424,49.13052990290925,-0.17267349814749738,0.95655280326818
Dhangadhi,ANN-MLP,Dataset2,38.630263602328974,74.06293638482194,-4.946071134355916,0.9278475411853009
Dhangadhi,KNN,Dataset2,82.9948141025641,135.1874380632611,-6.2547518315018324,0.7596069221111289
Dhangadhi,LSTM,Dataset2,41.221154175595046,78.94992868314382,7.701204607691956,0.9180115329403784
Dhangadhi,Random Forest,Dataset2,36.21482061965812,75.16981669913486,2.148247786935292,0.9256747694799577
Dhangadhi,XGBoost,Dataset2,42.7579415738914,78.76594706596283,4.936610756862171,0.9183932126965796
Mustang,ANN-MLP,Dataset2,37.72791093094027,69.49537000401382,2.930848740691704,0.9294337617293424
Mustang,KNN,Dataset2,68.84635836385836,116.49424167231221,-5.993936507936508,0.8017130461484621
Mustang,LSTM,Dataset2,35.577896711022866,69.46520540296336,3.115981292302502,0.9294950072616109
Mustang,Random Forest,Dataset2,33.28268714896215,65.31477307052761,2.807737393162389,0.9376684296680614
Mustang,XGBoost,Dataset2,38.245421988017156,69.60328258379255,0.4239303828154546,0.9292144407270911
Nuwakot,ANN-MLP,Dataset2,36.47914782606047,68.63560181944462,-0.7343747552846343,0.9376142314501394
Nuwakot,KNN,Dataset2,68.23017277167277,113.84576294969563,-11.105435897435896,0.8283592587759568
Nuwakot,LSTM,Dataset2,37.26855105935945,73.72740586697068,-6.215304666969366,0.9280145797901614
Nuwakot,Random Forest,Dataset2,34.47365802808303,68.56222576668894,0.8102226495726487,0.937747549274451
Nuwakot,XGBoost,Dataset2,44.11316899267315,80.70808638945672,-4.624227448946118,0.9137377587128664
Taplejung,ANN-MLP,Dataset2,31.790882062746785,59.366881009166796,-2.477381697863304,0.9381239397838215
Taplejung,KNN,Dataset2,52.64151404151404,90.76775300326264,-3.8077625152625156,0.8553570213286716
Taplejung,LSTM,Dataset2,32.61801960843387,60.79463397253834,-1.0891785781884218,0.9351119558332648
Taplejung,Random Forest,Dataset2,31.338448214285716,60.88558050801341,2.0203565781440793,0.9349176703669113
Taplejung,XGBoost,Dataset2,35.585873187821534,64.61849552251576,-2.608547491681874,0.9266925905451397
