Region,Model,Dataset,MAE,RMSE,MBE,R2
Dhangadhi,ANN-MLP,Dataset1,32.88316313449637,64.18439656337432,-2.664992638685755,0.9423721792256351
Dhangadhi,KNN,Dataset1,61.30927704886861,104.73188495551533,-4.943727451353236,0.8465626420154004
Dhangadhi,LSTM,Dataset1,28.728167394493415,57.28406594008307,1.7298762934898673,0.954097013323486
Dhangadhi,Random Forest,Dataset1,25.5150140267478,55.277872326112664,0.5584671927489386,0.9572559264196709
Dhangadhi,XGBoost,Dataset1,29.065548366498987,55.342116560798196,0.04031110194710356,0.9571565139089586
Mustang,ANN-MLP,Dataset1,33.78079290634856,60.354591224009674,4.679437211877744,0.9443967413832917
Mustang,KNN,Dataset1,54.09024618114977,95.77481689678055,-2.452997528047157,0.8599825128852273
Mustang,LSTM,Dataset1,29.048588197884275,55.247935431938615,4.729820372976866,0.9534079600919069
Mustang,Random Forest,Dataset1,26.761617988210688,53.76897958025873,0.1253239906192544,0.955869057009867
Mustang,XGBoost,Dataset1,28.651902712266963,52.432338273666076,0.14837401044615872,0.9580358848277711
Nuwakot,ANN-MLP,Dataset1,32.52238994518538,62.56018139592275,0.3474619844019198,0.9437885614988798
Nuwakot,KNN,Dataset1,48.35227964758826,85.42669950946429,-3.542189769918236,0.8951868059079414
Nuwakot,LSTM,Dataset1,30.497891316314444,59.74818057397783,4.512939626922578,0.9487282583141083
Nuwakot,Random Forest,Dataset1,26.988391392533433,56.05647705254538,0.25239390251631755,0.9548684445467337
Nuwakot,XGBoost,Dataset1,29.052708164517338,55.2682761747348,-0.32056218282010696,0.9561286964329206
Taplejung,ANN-MLP,Dataset1,28.85107550827278,54.00348748412702,0.6665581890605372,0.9475068689519416
Taplejung,KNN,Dataset1,41.832692146795964,74.15916845247304,-0.9219233060784684,0.9010106285340505
Taplejung,LSTM,Dataset1,26.919108830116667,52.132242219614476,4.188455723880807,0.9510816643343903
Taplejung,Random Forest,Dataset1,25.21274967357546,50.51185495832862,-0.497103733282629,0.9540753876750255
Taplejung,XGBoost,Dataset1,26.706040748254424,49.13052990290925,-0.17267349814749738,0.95655280326818
Dhangadhi,ANN-MLP,Dataset2,38.63997445387536,73.71679157708286,-4.262524201011558,0.9285203969330181
Dhangadhi,KNN,Dataset2,82.9948141025641,135.1874380632611,-6.2547518315018324,0.7596069221111289
Dhangadhi,LSTM,Dataset2,39.996201847787304,77.43020928306018,6.453729586240282,0.9211375711482849
Dhangadhi,Random Forest,Dataset2,36.21482061965812,75.16981669913486,2.1482477869352934,0.9256747694799577
Dhangadhi,XGBoost,Dataset2,42.7579415738914,78.76594706596283,4.936610756862171,0.9183932126965796
Mustang,ANN-MLP,Dataset2,37.60767971722198,67.41017938513596,5.905453835105721,0.9336048755265267
Mustang,KNN,Dataset2,68.84635836385836,116.49424167231221,-5.993936507936508,0.8017130461484621
Mustang,LSTM,Dataset2,35.17645926673771,68.5110653317842,3.724795468779274,0.9314185496522387
Mustang,Random Forest,Dataset2,33.28268714896215,65.3147730705276,2.807737393162388,0.9376684296680614
Mustang,XGBoost,Dataset2,38.245421988017156,69.60328258379255,0.4239303828154546,0.9292144407270911
Nuwakot,ANN-MLP,Dataset2,36.76329985789436,68.79817547972229,1.0162089474410074,0.9373183414388935
Nuwakot,KNN,Dataset2,68.23017277167277,113.84576294969563,-11.105435897435896,0.8283592587759568
Nuwakot,LSTM,Dataset2,38.08046296740627,73.37971470572134,-3.493569256094931,0.9286919311123029
Nuwakot,Random Forest,Dataset2,34.47365802808303,68.56222576668894,0.810222649572649,0.937747549274451
Nuwakot,XGBoost,Dataset2,44.11316899267315,80.70808638945672,-4.624227448946118,0.9137377587128664
Taplejung,ANN-MLP,Dataset2,31.72015657108382,58.638547761783144,-4.124291448461048,0.939632860115797
Taplejung,KNN,Dataset2,52.64151404151404,90.76775300326264,-3.8077625152625156,0.8553570213286716
Taplejung,LSTM,Dataset2,32.74682586310984,62.476299382033446,-1.84258095930493,0.9314725166761537
Taplejung,Random Forest,Dataset2,31.338448214285716,60.88558050801341,2.0203565781440793,0.9349176703669113
Taplejung,XGBoost,Dataset2,35.585873187821534,64.61849552251576,-2.608547491681874,0.9266925905451397
